Brand,Processor,Operating_System,Storage,RAM,Touch_Screen,Price
HP,Core i5,Windows 11 Home,512,8,0,60490
HP,Core i5,Chrome,256,8,0,62990
HP,Core i3,Windows 11 Home,512,8,0,37990
HP,Core i5,Windows 11 Home,512,8,0,46990
MSI,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,37990
HP,Athlon Dual Core,Windows 11 Home,512,8,0,30690
HP,Core i3,Windows 11 Home,512,8,0,38990
HP,Core i5,Windows 11 Home,512,16,0,53990
Apple,M2,Mac OS Monterey,256,8,0,104990
HP,Ryzen 3 Dual Core,DOS,512,8,0,23999
HP,Core i5,Windows 11 Home,1000,16,0,66999
HP,Core i5,Chrome,256,8,0,62990
ASUS,Ryzen 3 Quad Core,Windows 11 Home,1000,8,0,39990
Lenovo,Ryzen 5 Hexa Core,Windows 11 Home,512,8,0,34990
ASUS,Ryzen 3 Quad Core,Windows 11 Home,512,8,0,39990
ASUS,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,77990
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,54990
HP,Core i3,Windows 11 Home,512,8,0,37990
HP,Core i3,Windows 11 Home,256,8,0,35990
HP,Core i5,Windows 11 Home,512,16,0,66990
HP,Core i5,Windows 11 Home,512,8,0,60490
HP,Core i5,Windows 11 Home,512,8,0,53990
Lenovo,Core i3,Windows 11 Home,512,8,0,44990
HP,Core i5,Windows 11 Home,512,16,0,63999
ASUS,Core i5,Windows 11 Home,512,16,1,76990
HP,Core i3,Windows 11 Home,512,8,0,38990
HP,Core i3,Windows 11 Home,512,8,0,37990
WINGS,Core i5,Windows 11 Home,512,8,0,27990
HP,Celeron Quad Core,Chrome,64,4,1,24500
HP,Core i5,Windows 11 Home,512,8,0,46990
HP,Core i5,Windows 11 Home,512,16,0,53990
Lenovo,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,101990
Ultimus,Core i5,Windows 11 Home,512,8,1,19990
ASUS,Core i5,Windows 11 Home,1000,8,0,55990
Infinix,Core i5,Windows 11 Home,512,16,0,48990
HP,Core i5,Windows 11 Home,1000,16,0,66999
HP,Core i5,Windows 11 Home,512,8,0,49990
Infinix,Core i5,Windows 11 Home,512,8,0,29990
CHUWI,Core i3,Windows 11 Home,512,12,1,33990
ASUS,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,77990
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,54990
MSI,Core i7,Windows 11 Home,2000,16,0,79990
ASUS,Core i3,Windows 11 Home,512,16,0,35990
Acer,Core i5,Windows 11 Home,512,16,0,44990
HP,Core i5,Windows 11 Home,512,16,0,66990
HP,Core i5,Windows 11 Home,512,8,0,53990
ASUS,Ryzen 5 Hexa Core,Windows 11 Home,1000,16,0,53990
Lenovo,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,56990
HP,Core i3,Windows 11 Home,512,8,0,37990
HP,Core i5,Windows 11 Home,1000,16,0,66999
MSI,Core i5,Windows 11 Home,2000,16,0,74990
ASUS,Core i5,Windows 11 Home,512,16,0,60990
HP,Core i5,Windows 11 Home,512,16,0,57990
HP,Core i5,Windows 11 Home,512,16,0,53990
HP,Core i3,Windows 11 Home,512,8,0,38990
HP,Core i5,Windows 11 Home,512,8,0,49990
ASUS,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,77990
HP,Core i7,Windows 11 Home,512,16,0,79590
Lenovo,Core i5,Windows 11 Home,512,8,0,50990
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,54990
HP,Core i5,Windows 11 Home,512,16,0,66990
Infinix,Celeron Quad Core,Windows 11 Home,256,8,0,24990
Lenovo,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,67890
HP,Core i5,Windows 11 Home,512,8,0,53990
HP,Core i5,Windows 11 Home,512,8,0,60490
DELL,Core i3,Windows 11 Home,512,8,0,36990
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,8,0,50990
Lenovo,Core i3,Windows 11 Home,512,8,0,44990
MSI,Core i5,Windows 11 Home,4000,16,0,50990
HP,Core i3,Windows 11 Home,512,8,0,38990
ASUS,Core i5,Windows 11 Home,512,16,0,60990
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,8,0,57990
HP,Core i3,Windows 11 Home,512,8,0,37990
HP,Core i5,Windows 11 Home,512,8,0,46990
ASUS,Ryzen 5 Hexa Core,Windows 11 Home,1000,16,0,53990
